Force (N),Flex Raw ADC 1,Flex Voltage 1(V),Flex Resistance 1(Ohms),Flex Raw ADC 2,Flex Voltage 2(V),Flex Resistance 2(Ohms),Flex Raw ADC 3,Flex Voltage 3(V),Flex Resistance 3(Ohms),Load Cell Voltage (V),Load Cell Raw ADC,Location
0.058,251.0,1.227,172239.031,331.0,1.618,117075.523,397.0,1.94,88302.257,0.073,15.0,"(1,1)"
0.058,248.0,1.212,175000.0,327.0,1.598,119192.664,389.0,1.901,91269.929,0.073,15.0,"(1,1)"
0.063,253.0,1.237,170434.765,329.0,1.608,118127.656,393.0,1.921,89771.0,0.078,16.0,"(1,1)"
0.058,247.0,1.207,175935.218,328.0,1.603,118658.539,388.0,1.896,91649.484,0.073,15.0,"(1,1)"
0.058,252.0,1.232,171333.328,326.0,1.593,119730.054,390.0,1.906,90892.304,0.073,15.0,"(1,1)"
0.058,250.0,1.222,173152.0,325.0,1.588,120270.765,386.0,1.887,92414.507,0.073,15.0,"(1,1)"
0.058,255.0,1.246,168658.812,328.0,1.603,118658.539,389.0,1.901,91269.929,0.073,15.0,"(1,1)"
0.058,244.0,1.193,178786.875,331.0,1.618,117075.523,376.0,1.838,96361.695,0.073,15.0,"(1,1)"
0.058,257.0,1.256,166910.515,327.0,1.598,119192.664,390.0,1.906,90892.304,0.073,15.0,"(1,1)"
0.058,248.0,1.212,175000.0,325.0,1.588,120270.765,388.0,1.896,91649.484,0.073,15.0,"(1,1)"
0.053,251.0,1.227,172239.031,340.0,1.662,112494.125,387.0,1.891,92031.007,0.068,14.0,"(1,1)"
0.058,241.0,1.178,181709.546,321.0,1.569,122467.289,388.0,1.896,91649.484,0.073,15.0,"(1,1)"
0.053,253.0,1.237,170434.765,326.0,1.593,119730.054,389.0,1.901,91269.929,0.068,14.0,"(1,1)"
0.058,250.0,1.222,173152.0,325.0,1.588,120270.765,393.0,1.921,89771.0,0.073,15.0,"(1,1)"
0.058,247.0,1.207,175935.218,326.0,1.593,119730.054,389.0,1.901,91269.929,0.073,15.0,"(1,1)"
0.063,260.0,1.271,164338.453,325.0,1.588,120270.765,389.0,1.901,91269.929,0.078,16.0,"(1,1)"
0.058,252.0,1.232,171333.328,335.0,1.637,115008.96,388.0,1.896,91649.484,0.073,15.0,"(1,1)"
0.058,252.0,1.232,171333.328,323.0,1.579,121362.226,373.0,1.823,97587.132,0.073,15.0,"(1,1)"
0.058,249.0,1.217,174072.281,325.0,1.588,120270.765,370.0,1.808,98832.437,0.073,15.0,"(1,1)"
0.058,255.0,1.246,168658.812,325.0,1.588,120270.765,387.0,1.891,92031.007,0.073,15.0,"(1,1)"
0.058,257.0,1.256,166910.515,328.0,1.603,118658.539,376.0,1.838,96361.695,0.073,15.0,"(1,1)"
0.058,251.0,1.227,172239.031,322.0,1.574,121913.046,384.0,1.877,93187.5,0.073,15.0,"(1,1)"
0.053,249.0,1.217,174072.281,326.0,1.593,119730.054,388.0,1.896,91649.484,0.068,14.0,"(1,1)"
0.058,250.0,1.222,173152.0,327.0,1.598,119192.664,390.0,1.906,90892.304,0.073,15.0,"(1,1)"
0.063,238.0,1.163,184705.89,331.0,1.618,117075.523,385.0,1.882,92800.0,0.078,16.0,"(1,1)"
0.063,248.0,1.212,175000.0,335.0,1.637,115008.96,389.0,1.901,91269.929,0.078,16.0,"(1,1)"
0.063,253.0,1.237,170434.765,322.0,1.574,121913.046,389.0,1.901,91269.929,0.078,16.0,"(1,1)"
0.058,250.0,1.222,173152.0,325.0,1.588,120270.765,392.0,1.916,90142.867,0.073,15.0,"(1,1)"
0.063,250.0,1.222,173152.0,326.0,1.593,119730.054,389.0,1.901,91269.929,0.078,16.0,"(1,1)"
0.053,240.0,1.173,182700.015,331.0,1.618,117075.523,390.0,1.906,90892.304,0.068,14.0,"(1,1)"
0.058,257.0,1.256,166910.515,323.0,1.579,121362.226,387.0,1.891,92031.007,0.073,15.0,"(1,1)"
0.058,249.0,1.217,174072.281,326.0,1.593,119730.054,390.0,1.906,90892.304,0.073,15.0,"(1,1)"
0.058,248.0,1.212,175000.0,327.0,1.598,119192.664,386.0,1.887,92414.507,0.073,15.0,"(1,1)"
0.058,252.0,1.232,171333.328,313.0,1.53,127028.757,398.0,1.945,87939.687,0.073,15.0,"(1,1)"
0.058,247.0,1.207,175935.218,328.0,1.603,118658.539,418.0,2.043,81052.632,0.073,15.0,"(1,1)"
0.058,252.0,1.232,171333.328,338.0,1.652,113491.132,391.0,1.911,90516.625,0.073,15.0,"(1,1)"
0.058,246.0,1.202,176878.046,323.0,1.579,121362.226,386.0,1.887,92414.507,0.073,15.0,"(1,1)"
0.058,251.0,1.227,172239.031,326.0,1.593,119730.054,390.0,1.906,90892.304,0.073,15.0,"(1,1)"
0.058,250.0,1.222,173152.0,320.0,1.564,123025.007,370.0,1.808,98832.437,0.073,15.0,"(1,1)"
0.068,249.0,1.217,174072.281,321.0,1.569,122467.289,380.0,1.857,94757.898,0.083,17.0,"(1,1)"
0.058,254.0,1.241,169543.296,323.0,1.579,121362.226,390.0,1.906,90892.304,0.073,15.0,"(1,1)"
0.063,251.0,1.227,172239.031,319.0,1.559,123586.218,384.0,1.877,93187.5,0.078,16.0,"(1,1)"
0.063,258.0,1.261,166046.515,321.0,1.569,122467.289,391.0,1.911,90516.625,0.078,16.0,"(1,1)"
0.058,248.0,1.212,175000.0,340.0,1.662,112494.125,395.0,1.931,89032.921,0.073,15.0,"(1,1)"
0.058,256.0,1.251,167781.25,334.0,1.632,115520.96,391.0,1.911,90516.625,0.073,15.0,"(1,1)"
0.058,248.0,1.212,175000.0,326.0,1.593,119730.054,387.0,1.891,92031.007,0.073,15.0,"(1,1)"
0.058,253.0,1.237,170434.765,329.0,1.608,118127.656,387.0,1.891,92031.007,0.073,15.0,"(1,1)"
0.058,256.0,1.251,167781.25,321.0,1.569,122467.289,393.0,1.921,89771.0,0.073,15.0,"(1,1)"
0.053,246.0,1.202,176878.046,338.0,1.652,113491.132,390.0,1.906,90892.304,0.068,14.0,"(1,1)"
0.058,250.0,1.222,173152.0,325.0,1.588,120270.765,391.0,1.911,90516.625,0.073,15.0,"(1,1)"
0.058,245.0,1.197,177828.562,324.0,1.584,120814.804,388.0,1.896,91649.484,0.073,15.0,"(1,1)"
0.063,247.0,1.207,175935.218,317.0,1.549,124719.25,393.0,1.921,89771.0,0.078,16.0,"(1,1)"
0.073,222.0,1.085,202054.046,300.0,1.466,134959.984,406.0,1.984,85103.445,0.088,18.0,"(1,1)"
0.088,179.0,0.875,264044.687,216.0,1.056,209222.218,397.0,1.94,88302.257,0.103,21.0,"(1,1)"
0.132,123.0,0.601,409756.093,252.0,1.232,171333.328,383.0,1.872,93577.031,0.147,30.0,"(1,1)"
0.185,54.0,0.264,1004888.875,213.0,1.041,212957.75,386.0,1.887,92414.507,0.2,41.0,"(1,1)"
0.254,28.0,0.137,1990000.0,181.0,0.885,260508.281,372.0,1.818,98000.0,0.269,55.0,"(1,1)"
0.327,0.0,0.0,0.0,132.0,0.645,378000.0,379.0,1.852,95155.679,0.342,70.0,"(1,1)"
0.391,18.0,0.088,3126666.75,110.0,0.538,464799.968,371.0,1.813,98415.093,0.406,83.0,"(1,1)"
0.479,2.0,0.01,0.0,120.0,0.587,421400.031,366.0,1.789,100524.593,0.494,101.0,"(1,1)"
0.532,0.0,0.0,0.0,79.0,0.386,669164.562,366.0,1.789,100524.593,0.547,112.0,"(1,1)"
0.596,4.0,0.02,14266000.0,84.0,0.411,626000.0,364.0,1.779,101384.617,0.611,125.0,"(1,1)"
0.674,4.0,0.02,14266000.0,76.0,0.371,697789.5,376.0,1.838,96361.695,0.689,141.0,"(1,1)"
0.767,3.0,0.015,19040000.0,58.0,0.283,931724.187,374.0,1.828,97176.468,0.782,160.0,"(1,1)"
0.835,19.0,0.093,2959158.0,46.0,0.225,1189391.375,370.0,1.808,98832.437,0.85,174.0,"(1,1)"
0.879,0.0,0.0,0.0,55.0,0.269,985599.937,341.0,1.667,112000.0,0.894,183.0,"(1,1)"
0.909,0.0,0.0,0.0,57.0,0.279,949052.625,351.0,1.716,107213.671,0.924,189.0,"(1,1)"
0.953,1.0,0.005,0.0,60.0,0.293,898800.062,340.0,1.662,112494.125,0.968,198.0,"(1,1)"
1.021,0.0,0.0,0.0,52.0,0.254,1045692.312,348.0,1.701,108620.687,1.036,212.0,"(1,1)"
